date,home,away,actual,predicted,correct,tier,h_prob,d_prob,a_prob,brier,elo_gap
2023-09-23,Union Berlin,Hoffenheim,away_win,home_win,False,SNIPER,0.6001,0.2546,0.1454,1.1553,75.2
2023-09-23,Werder Bremen,FC Koln,home_win,home_win,True,SKIP,0.4456,0.2599,0.2945,0.4616,-37.9
2023-09-23,M'gladbach,RB Leipzig,away_win,away_win,True,SKIP,0.3133,0.2769,0.4098,0.5231,-181.6
2023-09-24,Ein Frankfurt,Freiburg,draw,home_win,False,SKIP,0.4532,0.2805,0.2662,0.7939,-28.6
2023-09-29,Hoffenheim,Dortmund,away_win,away_win,True,SNIPER,0.2277,0.2356,0.5367,0.3219,-174.4
2023-09-30,Bochum,M'gladbach,away_win,away_win,True,SKIP,0.3191,0.2688,0.4121,0.5197,-2.3
2023-09-30,FC Koln,Stuttgart,away_win,home_win,False,HOLD,0.5191,0.2635,0.2174,0.9513,-61.0
2023-09-30,Mainz,Leverkusen,away_win,home_win,False,SKIP,0.4327,0.2667,0.3006,0.7474,-143.2
2023-09-30,Wolfsburg,Ein Frankfurt,home_win,home_win,True,HOLD,0.5123,0.2523,0.2354,0.3569,10.8
2023-09-30,RB Leipzig,Bayern Munich,draw,away_win,False,SKIP,0.3495,0.2619,0.3886,0.8179,-9.7
2023-10-01,Freiburg,Augsburg,home_win,home_win,True,SNIPER,0.6212,0.2413,0.1375,0.2206,117.6
2023-10-06,M'gladbach,Mainz,draw,home_win,False,SKIP,0.4687,0.2591,0.2722,0.8427,47.2
2023-10-07,Dortmund,Union Berlin,home_win,home_win,True,SNIPER,0.5837,0.2431,0.1732,0.2625,152.8
2023-10-07,RB Leipzig,Bochum,draw,home_win,False,SNIPER,0.7907,0.1456,0.0637,1.3591,220.6
2023-10-07,Werder Bremen,Hoffenheim,away_win,home_win,False,SKIP,0.4733,0.2571,0.2696,0.8235,-52.0
2023-10-07,Stuttgart,Wolfsburg,home_win,away_win,False,SKIP,0.3366,0.2845,0.3789,0.6646,-22.6
2023-10-08,Leverkusen,FC Koln,home_win,home_win,True,SNIPER,0.561,0.2447,0.1943,0.2903,166.0
2023-10-08,Bayern Munich,Freiburg,home_win,home_win,True,SNIPER,0.7147,0.1831,0.1022,0.1254,111.7
2023-10-20,Dortmund,Werder Bremen,home_win,home_win,True,SNIPER,0.8037,0.1249,0.0714,0.0592,270.9
2023-10-21,Freiburg,Bochum,home_win,home_win,True,SNIPER,0.692,0.203,0.1049,0.1471,102.8
2023-10-21,Hoffenheim,Ein Frankfurt,away_win,home_win,False,SKIP,0.3863,0.2726,0.3411,0.6576,-1.0
2023-10-21,Union Berlin,Stuttgart,away_win,home_win,False,HOLD,0.6122,0.2525,0.1353,1.1863,-11.3
2023-10-21,Mainz,Bayern Munich,away_win,away_win,True,SNIPER,0.2146,0.2257,0.5597,0.2909,-247.2
2023-10-21,Wolfsburg,Leverkusen,away_win,home_win,False,SKIP,0.4941,0.2611,0.2448,0.8826,-73.3
2023-10-22,FC Koln,M'gladbach,home_win,home_win,True,SKIP,0.4694,0.2646,0.266,0.4223,-49.1
2023-10-27,Bochum,Mainz,draw,away_win,False,SKIP,0.3032,0.2658,0.431,0.8167,13.0
2023-10-28,Augsburg,Wolfsburg,home_win,away_win,False,SKIP,0.297,0.2819,0.4211,0.7509,-90.3
2023-10-28,Stuttgart,Hoffenheim,away_win,home_win,False,SKIP,0.4503,0.2797,0.27,0.8138,66.4
2023-10-28,Werder Bremen,Union Berlin,home_win,away_win,False,SKIP,0.3015,0.2929,0.4056,0.7381,-89.5
2023-10-28,RB Leipzig,FC Koln,home_win,home_win,True,SNIPER,0.6523,0.2161,0.1316,0.185,209.1
2023-10-29,Ein Frankfurt,Dortmund,draw,away_win,False,SKIP,0.3152,0.2439,0.4409,0.8655,-172.2
2023-10-29,Leverkusen,Freiburg,home_win,home_win,True,SKIP,0.4607,0.2843,0.2551,0.4368,57.8
2023-11-04,FC Koln,Augsburg,draw,home_win,False,HOLD,0.5623,0.2514,0.1863,0.9112,-9.6
2023-11-04,Freiburg,M'gladbach,draw,home_win,False,SNIPER,0.5366,0.2633,0.2001,0.8708,93.1
2023-11-04,Hoffenheim,Leverkusen,away_win,home_win,False,SKIP,0.371,0.2787,0.3504,0.6373,-120.0
2023-11-04,Mainz,RB Leipzig,home_win,away_win,False,SKIP,0.3298,0.277,0.3931,0.6804,-225.2
