date,home_team,away_team,actual,predicted,correct,tier,consensus,h_prob,d_prob,a_prob,brier,elo_home,elo_away,elo_gap
2023-12-09,Ein Frankfurt,Bayern Munich,home_win,away_win,False,SKIP,0,0.3023,0.2636,0.4341,0.7447,1511.8,1708.8,-196.9
2023-12-09,Heidenheim,Darmstadt,home_win,home_win,True,HOLD,0,0.3742,0.3336,0.2922,0.5883,1444.7,1422.5,22.2
2023-12-09,Union Berlin,M'gladbach,home_win,draw,False,SKIP,0,0.3214,0.3812,0.2974,0.6943,1446.8,1484.7,-37.9
2023-12-09,Werder Bremen,Augsburg,home_win,draw,False,SKIP,0,0.3156,0.3736,0.3108,0.7046,1395.5,1456.1,-60.6
2023-12-09,Wolfsburg,Freiburg,away_win,draw,False,SKIP,0,0.3154,0.3822,0.3024,0.7322,1477.3,1528.3,-51.0
2023-12-09,Dortmund,RB Leipzig,away_win,home_win,False,HOLD,0,0.374,0.3336,0.2924,0.7519,1643.6,1621.6,21.9
2023-12-10,Stuttgart,Leverkusen,draw,away_win,False,SKIP,0,0.3144,0.3412,0.3443,0.6514,1558.3,1654.8,-96.5
2023-12-10,FC Koln,Mainz,draw,home_win,False,HOLD,0,0.3604,0.3431,0.2964,0.6493,1434.2,1429.8,4.4
2023-12-15,M'gladbach,Werder Bremen,draw,home_win,False,HOLD,0,0.431,0.2636,0.3054,0.8213,1469.3,1412.0,57.2
2023-12-16,Augsburg,Dortmund,draw,away_win,False,SKIP,0,0.3078,0.2636,0.4286,0.8207,1439.6,1624.3,-184.7
2023-12-16,Bochum,Union Berlin,home_win,draw,False,SKIP,0,0.3389,0.3637,0.2975,0.6578,1443.8,1462.2,-18.4
2023-12-16,Darmstadt,Wolfsburg,away_win,draw,False,SKIP,0,0.3154,0.3817,0.3029,0.7311,1409.8,1461.3,-51.6
2023-12-16,Mainz,Heidenheim,away_win,draw,False,SKIP,0,0.3328,0.3697,0.2975,0.7409,1432.3,1457.4,-25.1
2023-12-16,RB Leipzig,Hoffenheim,home_win,home_win,True,SNIPER,0,0.4725,0.2636,0.2639,0.4174,1640.9,1490.0,150.9
2023-12-17,Freiburg,FC Koln,home_win,home_win,True,HOLD,0,0.4566,0.2636,0.2798,0.4431,1544.3,1431.7,112.6
